District,Neighborhood,ID,Name
North,Northside,5b9c3f5467f62b002c91b0eb,La Lucha
North,Northside,4c96456a58d4b60c667d3929,Captain Benny's Seafood
North,Northside,4e7249a6b0fb9f3b35292560,Liberty Kitchen & Oyster Bar
North,Northside Village,4e7249a6b0fb9f3b35292560,Liberty Kitchen & Oyster Bar
Southeast,Park Place,594d71902be42528bc8d0e46,Casian Crawfish
Southeast,Park Place,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen
Southeast,Pecan Park,594d71902be42528bc8d0e46,Casian Crawfish
East,Pleasantville Area,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen
East,Pleasantville Area,4ef2233482310969a7db7c41,Texas Grill Seafood
East,Pleasantville Area,4cab5b3d2776b60ca8674b0d,Mambo Seafood
Northeast,Settegast,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen
Northeast,Settegast,4ef2233482310969a7db7c41,Texas Grill Seafood
Northeast,Settegast,4cab5b3d2776b60ca8674b0d,Mambo Seafood
Northeast,Settegast,4b3975a3f964a520d75c25e3,Connie's Seafood Market & Restaurant
Southwest,Sharpstown,4b6100acf964a5207f052ae3,Pappadeaux Seafood Kitchen
Southwest,Sharpstown,4b42aa53f964a52074d825e3,Truluck's
South,South Acres,4ea862660aaf6e05866cde62,TP Seafood Restaurant And Market
South,South Main,4ea862660aaf6e05866cde62,TP Seafood Restaurant And Market
South,South Main,4b305919f964a52017f924e3,Goode Company Seafood
South,South Main,5babc856838e59002c0a8c8a,Eunice
South,South Main,4cb8dc81bac937042062e07c,Eddie V's Prime Seafood
South,South Park,4ea862660aaf6e05866cde62,TP Seafood Restaurant And Market
Northwest,Spring Branch Central,4c3f8c84ce54e21e5438081a,Pappadeaux Seafood Kitchen
Northwest,Spring Branch Central,4c96456a58d4b60c667d3929,Captain Benny's Seafood
Northwest,Spring Branch Central,4aa33694f964a520b44320e3,Goode Company Seafood
Northwest,Spring Branch Central,4b6e3389f964a52049b12ce3,Pappadeaux Seafood Kitchen
Northwest,Spring Branch Central,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood
Northwest,Spring Branch Central,4c0947f7a1b32d7fee6697f0,McCormick & Schmick's
Northwest,Spring Branch East,4aa33694f964a520b44320e3,Goode Company Seafood
Northwest,Spring Branch East,4b6e3389f964a52049b12ce3,Pappadeaux Seafood Kitchen
Northwest,Spring Branch East,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood
Northwest,Spring Branch East,4c0947f7a1b32d7fee6697f0,McCormick & Schmick's
Northwest,Spring Branch North,4b6e3389f964a52049b12ce3,Pappadeaux Seafood Kitchen
Northwest,Spring Branch North,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood
Northwest,Spring Branch North,4aa33694f964a520b44320e3,Goode Company Seafood
Northwest,Spring Branch North,4c3f8c84ce54e21e5438081a,Pappadeaux Seafood Kitchen
Northwest,Spring Branch North,4c0947f7a1b32d7fee6697f0,McCormick & Schmick's
West,Spring Branch West,4aa33694f964a520b44320e3,Goode Company Seafood
West,Spring Branch West,4b6e3389f964a52049b12ce3,Pappadeaux Seafood Kitchen
West,Spring Branch West,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood
West,Spring Branch West,4c0947f7a1b32d7fee6697f0,McCormick & Schmick's
